City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,6.26,79,63,1.32,CL,2024-08-25 05:36:45
1,kavalerovo,44.2661,135.0572,17.36,93,100,1.96,RU,2024-08-25 05:41:01
2,blackmans bay,-43.0167,147.3167,16.52,75,100,2.24,AU,2024-08-25 05:41:02
3,kailua-kona,19.6406,-155.9956,27.98,93,75,7.2,US,2024-08-25 05:41:04
4,waitangi,-43.9535,-176.5597,11.01,96,94,1.79,NZ,2024-08-25 05:41:05
5,hammerfest,70.6634,23.6821,13.25,71,59,2.57,NO,2024-08-25 05:41:06
6,edinburgh of the seven seas,-37.0676,-12.3116,15.1,83,100,21.16,SH,2024-08-25 05:41:07
7,puerto natales,-51.7236,-72.4875,1.77,91,100,1.13,CL,2024-08-25 05:41:09
8,adamstown,-25.066,-130.1015,20.12,74,100,8.48,PN,2024-08-25 05:41:10
9,asau,46.4333,26.4,23.99,32,40,1.58,RO,2024-08-25 05:41:11
10,grytviken,-54.2811,-36.5092,-6.5,92,68,6.77,GS,2024-08-25 05:41:12
11,axim,4.8699,-2.2405,22.28,96,61,1.13,GH,2024-08-25 05:41:13
12,al bawiti,28.3492,28.8659,29.81,37,0,1.53,EG,2024-08-25 05:41:15
13,port mathurin,-19.6833,63.4167,21.37,64,50,10.63,MU,2024-08-25 05:41:16
14,albany,42.6001,-73.9662,16.92,92,13,1.03,US,2024-08-25 05:41:17
15,pasuquin,18.3328,120.6177,31.97,74,40,3.6,PH,2024-08-25 05:41:18
16,banda aceh,5.5577,95.3222,27.34,75,100,3.64,ID,2024-08-25 05:41:20
17,kununurra,-15.7667,128.7333,37.99,18,27,2.06,AU,2024-08-25 05:41:21
18,bulungu,-4.55,18.6,28.82,26,98,1.5,CD,2024-08-25 05:41:22
19,port-aux-francais,-49.35,70.2167,2.43,93,100,15.64,TF,2024-08-25 05:41:23
20,anadyr,64.75,177.4833,8.28,70,0,7.6,RU,2024-08-25 05:41:24
21,at taj,24.2049,23.2857,32.83,28,2,4.38,LY,2024-08-25 05:41:26
22,vorgashor,67.5833,63.95,18.01,55,24,5.62,RU,2024-08-25 05:41:27
23,jamestown,42.097,-79.2353,16.8,95,0,0.45,US,2024-08-25 05:40:03
24,kondoa,-4.9,35.7833,17.69,67,24,3.17,TZ,2024-08-25 05:41:29
25,manavalakurichi,8.1333,77.3,32.14,68,83,7.55,IN,2024-08-25 05:41:31
26,pervomayskoye,43.919,46.7102,29.69,30,100,7.78,RU,2024-08-25 05:41:32
27,papatowai,-46.5619,169.4708,7.23,64,94,1.01,NZ,2024-08-25 05:41:33
28,ushuaia,-54.8,-68.3,3.81,87,40,2.57,AR,2024-08-25 05:38:29
29,stanley,54.868,-1.6985,9.6,86,20,5.14,GB,2024-08-25 05:41:36
30,kavaratti,10.5669,72.642,27.04,84,100,5.75,IN,2024-08-25 05:41:37
31,kenai,60.5544,-151.2583,11.19,90,100,0.0,US,2024-08-25 05:41:39
32,tiksi,71.6872,128.8694,5.26,96,100,4.3,RU,2024-08-25 05:41:40
33,margaret river,-33.95,115.0667,15.81,71,91,6.77,AU,2024-08-25 05:41:42
34,mahibadhoo,3.7833,72.9667,28.12,73,57,3.57,MV,2024-08-25 05:41:43
35,qaqortoq,60.7167,-46.0333,3.3,98,89,1.17,GL,2024-08-25 05:41:44
36,nuuk,64.1835,-51.7216,6.34,100,100,5.14,GL,2024-08-25 05:41:45
37,jiangyou,31.7667,104.7167,32.7,58,81,1.61,CN,2024-08-25 05:41:47
38,broken hill,-31.95,141.4333,26.8,22,32,13.7,AU,2024-08-25 05:41:48
39,tralee,52.2704,-9.7026,13.45,91,100,6.59,IE,2024-08-25 05:41:49
40,ban talat yai,7.8848,98.4001,29.08,78,100,6.58,TH,2024-08-25 05:41:50
41,longyearbyen,78.2186,15.6401,10.91,76,75,8.75,SJ,2024-08-25 05:41:51
